label,clients,duration_s,rate_per_client,sent,received,recv_per_sec,p50_us,p95_us,p99_us,p99_9_us,max_us
mutex-LOCAL,N=100,R=5,100,180,5000,90100,27088774,150493.2,28079,55359,61663,994303,2791423
mutex-CENTRAL,N=100,R=5,100,180,5000,90100,27085235,150473.5,39295,66431,73727,1005567,2803711
mutex-MEXICO,N=100,R=5,100,180,5000,90100,27098323,150546.2,49119,76095,82687,1015807,2811903
mutex-SLOW,N=1,R=5,1,180,5000,901,258598,1436.7,41599,70015,222207,1040895,2779135
broadcast-LOCAL,N=100,R=5,100,180,5000,90100,27089606,150497.8,58591,98623,121151,963583,3555327
broadcast-CENTRAL,N=100,R=5,100,180,5000,90100,27102449,150569.2,65055,106431,127295,973311,3559423
broadcast-MEXICO,N=100,R=5,100,180,5000,90100,27091156,150506.4,78399,119167,141439,984063,3571711
broadcast-SLOW,N=1,R=5,1,180,5000,901,261202,1451.1,70335,111679,142207,994815,3540991
