label,clients,duration_s,rate_per_client,sent,received,recv_per_sec,p50_us,p95_us,p99_us,p99_9_us,max_us
mutex-SLOW,N=5,R=5,5,240,5000,0,0,0.0,0,0,0,0,0
mutex-NCUS,N=100,R=5,100,240,5000,120100,17409811,72540.9,60030975,60030975,60030975,60030975,60030975
mutex-LOCAL,N=100,R=5,100,240,5000,120100,17431263,72630.3,60030975,60030975,60030975,60030975,60030975
broadcast-SLOW,N=5,R=5,5,240,5000,0,0,0.0,0,0,0,0,0
broadcast-NCUS,N=100,R=5,100,240,5000,120100,24013089,100054.5,45535,78335,82111,85567,244223
broadcast-LOCAL,N=100,R=5,100,240,5000,120100,24000529,100002.2,34655,68095,71807,75007,113471
