label,clients,duration_s,rate_per_client,sent,received,recv_per_sec,p50_us,p95_us,p99_us,p99_9_us,max_us
mutex-NCUS,N=100,R=5,100,300,5000,150100,45003397,150011.3,61375,73279,78463,84351,166015
mutex-CUS,N=100,R=5,100,300,5000,150100,44984776,149949.3,55999,67647,72895,79551,172415
mutex-EUS2,N=100,R=5,100,300,5000,150100,45012138,150040.5,53055,64415,69375,75007,123583
broadcast-NCUS,N=100,R=5,100,300,5000,150100,45023397,150078.0,62559,80831,89215,98495,210559
broadcast-CUS,N=100,R=5,100,300,5000,150100,44997106,149990.4,55903,74367,82687,92095,131327
broadcast-EUS2,N=100,R=5,100,300,5000,150100,45013598,150045.3,53599,71999,80191,88831,136319
