label,clients,duration_s,rate_per_client,sent,received,recv_per_sec,p50_us,p95_us,p99_us,p99_9_us,max_us
mutex-LOCAL,N=100,R=5,100,240,5000,120100,36002647,150011.0,35615,60159,73151,82303,492799
mutex-CENTRAL,N=100,R=5,100,240,5000,120100,36004785,150019.9,46207,71743,83967,94207,500223
mutex-MEXICO,N=100,R=5,100,240,5000,120100,36016814,150070.1,56383,81279,94015,103551,509183
mutex-SLOW,N=5,R=5,5,240,5000,0,0,0.0,0,0,0,0,0
broadcast-LOCAL,N=100,R=5,100,240,5000,120100,36000625,150002.6,30415,51647,58591,65855,310783
broadcast-CENTRAL,N=100,R=5,100,240,5000,120100,36014788,150061.6,40223,62015,69375,77759,324095
broadcast-MEXICO,N=100,R=5,100,240,5000,120100,36010298,150042.9,51071,72511,79615,87295,333055
broadcast-SLOW,N=5,R=5,5,240,5000,0,0,0.0,0,0,0,0,0
