label,clients,duration_s,rate_per_client,sent,received,recv_per_sec,p50_us,p95_us,p99_us,p99_9_us,max_us
mutex,N=10,10,20,100,30,300,15.0,914,1372,1529,1813,1813
mutex,N=25,25,20,100,75,1875,93.8,1960,3627,4089,4155,4163
mutex,N=50,50,20,100,150,7469,373.4,6415,13703,15015,15671,15767
mutex,N=100,100,20,100,300,29999,1500.0,28815,73151,74431,74751,74815
mutex,N=200,200,20,100,600,113564,5678.2,130623,239231,338431,339455,339967
mutex,N=400,400,20,100,1200,473795,23689.8,339967,1018367,1026559,1034239,1036799
broadcast,N=10,10,20,100,30,220,11.0,647,972,1055,1089,1089
broadcast,N=25,25,20,100,75,1396,69.8,2567,4831,4923,4975,5071
broadcast,N=50,50,20,100,150,5703,285.1,5275,20927,22191,22559,22623
broadcast,N=100,100,20,100,300,21404,1070.2,26895,57087,57695,58143,58271
broadcast,N=200,200,20,100,600,84236,4211.8,95295,409343,554495,721407,723455
broadcast,N=400,400,20,100,1200,384881,19244.0,279295,729599,927231,1258495,1551359
