label,clients,duration_s,rate_per_client,sent,received,recv_per_sec,p50_us,p95_us,p99_us,p99_9_us,max_us
broadcast,N=10,10,15,0,951514,1575291,105019.4,10387455,19431423,20250623,20479999,20496383
broadcast,N=25,25,15,0,2846373,3737074,249138.3,7426047,13631487,17006591,18972671,19349503
broadcast,N=50,50,15,0,3022770,4381096,292073.1,9273343,16113663,17940479,19546111,20905983
broadcast,N=100,100,15,0,3695335,7917808,527853.9,10936319,22593535,24133631,24969215,27230207
broadcast,N=200,200,15,0,3162369,7081702,472113.5,33751039,39616511,42139647,44236799,46137343
broadcast,N=400,400,15,0,2083941,11932722,795514.8,32833535,43450367,46039039,54460415,54755327
