label,clients,duration_s,rate_per_client,sent,received,recv_per_sec,p50_us,p95_us,p99_us,p99_9_us,max_us
mutex-NCUS,N=100,R=5,100,300,5000,150100,47961910,159873.0,67135,579583,825343,970239,1138687
mutex-CUS,N=100,R=5,100,300,5000,150100,47947704,159825.7,60543,573951,818687,963583,1132543
mutex-EUS2,N=100,R=5,100,300,5000,150100,47977583,159925.3,58719,571391,817151,961535,1132543
mutex-NETEM,N=20,R=5,20,300,5000,30020,9432677,31442.3,66687,588287,826879,972287,1523711
broadcast-NCUS,N=100,R=5,100,300,5000,150100,47976968,159923.2,63711,580095,825855,973823,1116159
broadcast-CUS,N=100,R=5,100,300,5000,150100,47959744,159865.8,57535,574463,819711,967679,1110015
broadcast-EUS2,N=100,R=5,100,300,5000,150100,47987241,159957.5,55583,571903,817663,966143,1111039
broadcast-NETEM,N=20,R=5,20,300,5000,30020,9451831,31506.1,64159,588799,828927,975359,1449983
