label,clients,duration_s,rate_per_client,sent,received,recv_per_sec,p50_us,p95_us,p99_us,p99_9_us,max_us
mutex-LOCAL,N=100,R=5,100,20,5000,10100,3001061,150053.0,29631,56959,62623,66815,83711
mutex-CENTRAL,N=100,R=5,100,20,5000,10100,2994595,149729.8,41215,68799,75327,81919,214271
mutex-MEXICO,N=100,R=5,100,20,5000,10100,3011977,150598.9,50495,78015,83967,89471,102463
mutex-SLOW,N=1,R=5,1,20,5000,0,0,0.0,0,0,0,0,0
broadcast-LOCAL,N=100,R=5,100,20,5000,10100,2996871,149843.5,42879,75967,83519,101759,332799
broadcast-CENTRAL,N=100,R=5,100,20,5000,10100,3016487,150824.4,52671,86527,95103,111551,347647
broadcast-MEXICO,N=100,R=5,100,20,5000,10100,3001751,150087.5,63135,96127,104255,121727,355327
broadcast-SLOW,N=1,R=5,1,20,5000,0,0,0.0,0,0,0,0,0
