label,clients,duration_s,rate_per_client,sent,received,recv_per_sec,p50_us,p95_us,p99_us,p99_9_us,max_us
mutex-LOCAL,N=100,R=5,100,20,5000,10100,3008580,150429.0,32063,70847,76287,879103,2390015
mutex-CENTRAL,N=100,R=5,100,20,5000,10100,3013661,150683.0,43071,81855,88511,890367,2404351
mutex-MEXICO,N=100,R=5,100,20,5000,10100,3024929,151246.5,52703,90687,97279,894975,2412543
mutex-SLOW,N=1,R=5,1,20,5000,101,19912,995.6,47071,85887,223231,1785855,2990079
broadcast-LOCAL,N=100,R=5,100,20,5000,10100,3007482,150374.1,30239,55263,60767,893951,2002943
broadcast-CENTRAL,N=100,R=5,100,20,5000,10100,3018183,150909.1,41631,66623,73151,905215,2016255
broadcast-MEXICO,N=100,R=5,100,20,5000,10100,3014148,150707.4,51103,76351,82111,915455,2024447
broadcast-SLOW,N=1,R=5,1,20,5000,101,15104,755.2,51071,178687,364287,1399807,1998847
