label,clients,duration_s,rate_per_client,sent,received,recv_per_sec,p50_us,p95_us,p99_us,p99_9_us,max_us
mutex,N=10,10,15,0,644411,12530442,835362.8,17580031,29900799,35487743,36438015,36503551
mutex,N=25,25,15,0,578703,19813282,1320885.5,40271871,60030975,60030975,60030975,60030975
