label,clients,duration_s,rate_per_client,sent,received,recv_per_sec,p50_us,p95_us,p99_us,p99_9_us,max_us
mutex-NCUS1,N=50,R=5,50,240,5000,60050,9003666,37515.3,55103,60223,63167,68607,195199
mutex-NCUS2,N=50,R=5,50,240,5000,60050,9005478,37522.8,55071,60191,63167,71615,187263
mutex-CUS,N=50,R=5,50,240,5000,60050,8956180,37317.4,49375,54527,58463,69631,293119
broadcast-NCUS1,N=50,R=5,50,240,5000,60050,9003643,37515.2,54719,59391,62079,67263,119871
broadcast-NCUS2,N=50,R=5,50,240,5000,60050,9001088,37504.5,54815,59679,62367,67775,128959
broadcast-CUS,N=50,R=5,50,240,5000,60050,8996070,37483.6,49343,53951,57887,67519,129727
