label,clients,duration_s,rate_per_client,sent,received,recv_per_sec,p50_us,p95_us,p99_us,p99_9_us,max_us
mutex-NCUS,N=100,R=5,100,300,5000,150100,45010985,150036.6,63967,83967,91007,99967,208767
mutex-CUS,N=100,R=5,100,300,5000,150100,45014663,150048.9,57535,77503,84735,94015,169983
mutex-EUS2,N=100,R=5,100,300,5000,150100,45004032,150013.4,55071,75071,82239,90751,113023
mutex-SLOW,N=20,R=5,20,300,5000,0,0,0.0,0,0,0,0,0
broadcast-NCUS,N=100,R=5,100,300,5000,150100,45018079,150060.3,61823,77887,84863,92159,1376255
broadcast-CUS,N=100,R=5,100,300,5000,150100,45013482,150044.9,55775,71871,78847,86463,819199
broadcast-EUS2,N=100,R=5,100,300,5000,150100,45017689,150059.0,54111,70271,77247,84607,819711
broadcast-SLOW,N=20,R=5,20,300,5000,0,0,0.0,0,0,0,0,0
