label,clients,duration_s,rate_per_client,sent,received,recv_per_sec,p50_us,p95_us,p99_us,p99_9_us,max_us
mutex-LOCAL,N=150,R=5,150,300,5000,225150,31973919,106579.7,60030975,60030975,60030975,60030975,60030975
mutex-CENTRAL,N=150,R=5,150,300,5000,225150,32962788,109876.0,60030975,60030975,60030975,60030975,60030975
mutex-MEXICO,N=150,R=5,150,300,5000,225150,33030039,110100.1,60030975,60030975,60030975,60030975,60030975
mutex-SLOW,N=5,R=5,5,300,5000,0,0,0.0,0,0,0,0,0
broadcast-LOCAL,N=150,R=5,150,300,5000,225150,32027900,106759.7,60030975,60030975,60030975,60030975,60030975
broadcast-CENTRAL,N=150,R=5,150,300,5000,225150,32835191,109450.6,60030975,60030975,60030975,60030975,60030975
broadcast-MEXICO,N=150,R=5,150,300,5000,225150,32647815,108826.1,60030975,60030975,60030975,60030975,60030975
broadcast-SLOW,N=5,R=5,5,300,5000,0,0,0.0,0,0,0,0,0
